Wall time,Step,Value
1676693779.1529424,0,0.3870512843132019
1676693779.1539392,1,0.4275641143321991
1676693779.1539392,2,0.4755769371986389
1676693779.1539392,3,0.5088461637496948
1676693779.1539392,4,0.5544871687889099
1676693779.1539392,5,0.5848076939582825
1676693779.1539392,6,0.6101922988891602
1676693779.1539392,7,0.6280769109725952
1676693779.1539392,8,0.6381410360336304
1676693779.1549366,9,0.6432692408561707
1676693779.1549366,10,0.6381410360336304
1676693779.1549366,11,0.638076901435852
1676693779.1549366,12,0.640576958656311
1676693779.1549366,13,0.645641028881073
1676693779.1549366,14,0.6355769634246826
1676693779.1559324,15,0.6355128288269043
1676693779.1559324,16,0.6430128216743469
1676693779.1559324,17,0.6429487466812134
1676693779.1559324,18,0.6506410241127014
1676693779.15693,19,0.6530769467353821
1676693779.15693,20,0.6530769467353821
1676693779.15693,21,0.6556410193443298
1676693779.15693,22,0.6556410193443298
1676693779.1579275,23,0.6530769467353821
1676693779.1579275,24,0.6480769515037537
1676693779.1579275,25,0.6455128192901611
1676693779.1579275,26,0.6453846096992493
1676693779.1579275,27,0.6453846096992493
1676693779.1589262,28,0.6428846120834351
1676693779.1589262,29,0.6403846144676208
1676693779.1589262,30,0.6403846144676208
1676693779.1589262,31,0.6429487466812134
1676693779.1589262,32,0.6480769515037537
1676693779.1599226,33,0.6505769491195679
1676693779.1599226,34,0.6480769515037537
1676693779.1599226,35,0.6480769515037537
1676693779.1599226,36,0.6455769538879395
1676693779.1599226,37,0.6430769562721252
1676693779.1599226,38,0.645641028881073
1676693779.1609192,39,0.6430769562721252
1676693779.1609192,40,0.640576958656311
1676693779.1609192,41,0.640576958656311
1676693779.1609192,42,0.640576958656311
1676693779.1609192,43,0.6430769562721252
1676693779.1609192,44,0.6431410312652588
1676693779.1619174,45,0.6431410312652588
1676693779.1619174,46,0.640576958656311
1676693779.1619174,47,0.640576958656311
1676693779.1619174,48,0.640576958656311
1676693779.1619174,49,0.6431410312652588
