Wall time,Step,Value
1676688289.277638,0,0.19257211685180664
1676688289.2786078,1,0.3097836673259735
1676688289.2786078,2,0.5148558020591736
1676688289.2786078,3,0.6550000309944153
1676688289.2786078,4,0.7181971073150635
1676688289.2786078,5,0.756706714630127
1676688289.2786078,6,0.7798076868057251
1676688289.2786078,7,0.7921634912490845
1676688289.2786078,8,0.7936779260635376
1676688289.2786078,9,0.8060096502304077
1676688289.2786078,10,0.8090624809265137
1676688289.2796044,11,0.8091105818748474
1676688289.2796044,12,0.8229567408561707
1676688289.2796044,13,0.8275721073150635
1676688289.2796044,14,0.8229327201843262
1676688289.2796044,15,0.8244711756706238
1676688289.2806022,16,0.8152163624763489
1676688289.2806022,17,0.8198798298835754
1676688289.2806022,18,0.8229567408561707
1676688289.2806022,19,0.8260336518287659
1676688289.3600416,20,0.8152644634246826
1676688289.3600416,21,0.8183413743972778
1676688289.3600416,22,0.8244951963424683
1676688289.3600416,23,0.8244951963424683
1676688289.3610392,24,0.8213942646980286
1676688289.3610392,25,0.8260096311569214
1676688289.3610392,26,0.8321634531021118
1676688289.3610392,27,0.8290625214576721
1676688289.3610392,28,0.8229086399078369
1676688289.3620362,29,0.8244471549987793
1676688289.3620362,30,0.8244471549987793
1676688289.3620362,31,0.8321394324302673
1676688289.3620362,32,0.8260336518287659
1676688289.3620362,33,0.8213701844215393
1676688289.3630335,34,0.8213701844215393
1676688289.3630335,35,0.8229086399078369
1676688289.3630335,36,0.8259615302085876
1676688289.3630335,37,0.8229086399078369
1676688289.3630335,38,0.82442307472229
1676688289.3630335,39,0.8275240659713745
1676688289.3640301,40,0.8244471549987793
1676688289.3640301,41,0.8198077082633972
1676688289.3640301,42,0.82442307472229
1676688289.3640301,43,0.8228846192359924
1676688289.3640301,44,0.82442307472229
1676688289.3650284,45,0.8260096311569214
1676688289.3650284,46,0.8229086399078369
1676688289.3650284,47,0.8244471549987793
1676688289.3650284,48,0.8213701844215393
1676688289.3650284,49,0.8275240659713745
