Wall time,Step,Value
1676682640.514457,0,0.9750000238418579
1676682640.5154548,1,0.9399999976158142
1676682640.5154548,2,0.9398319125175476
1676682640.5154548,3,0.9389157295227051
1676682640.5154548,4,0.9247307181358337
1676682640.5154548,5,0.9220393896102905
1676682640.5154548,6,0.9208752512931824
1676682640.516451,7,0.9186816811561584
1676682640.516451,8,0.9151624441146851
1676682640.516451,9,0.917225182056427
1676682640.516451,10,0.9114580154418945
1676682640.516451,11,0.9109219312667847
1676682640.516451,12,0.9111449718475342
1676682640.516451,13,0.9053860902786255
1676682640.516451,14,0.9053860902786255
1676682640.5174484,15,0.9047232866287231
1676682640.5174484,16,0.901710569858551
1676682640.5174484,17,0.8985342979431152
1676682640.5174484,18,0.897117555141449
1676682640.518446,19,0.8970255255699158
1676682640.518446,20,0.8953133821487427
1676682640.518446,21,0.8953133821487427
1676682640.518446,22,0.8951254487037659
1676682640.518446,23,0.8936604261398315
1676682640.5194438,24,0.8936604261398315
1676682640.5194438,25,0.8936604261398315
1676682640.5194438,26,0.8936604261398315
1676682640.5194438,27,0.8951425552368164
1676682640.5194438,28,0.8968597054481506
1676682640.5194438,29,0.8968597054481506
1676682640.5204403,30,0.8966177701950073
1676682640.5204403,31,0.896881103515625
1676682640.5204403,32,0.896881103515625
1676682640.5204403,33,0.8968868851661682
1676682640.5204403,34,0.8983892798423767
1676682640.5204403,35,0.8983892798423767
1676682640.5214376,36,0.8980487585067749
1676682640.5214376,37,0.8996778726577759
1676682640.5214376,38,0.8997752666473389
1676682640.5214376,39,0.9013240933418274
1676682640.5214376,40,0.9000651240348816
1676682640.5214376,41,0.8999521732330322
1676682640.5224357,42,0.901734471321106
1676682640.5224357,43,0.9014626145362854
1676682640.5224357,44,0.9014626145362854
1676682640.5224357,45,0.9014626145362854
1676682640.5224357,46,0.9014626145362854
1676682640.5224357,47,0.9014626145362854
1676682640.5234323,48,0.9028723835945129
1676682640.5234323,49,0.9030407667160034
