Wall time,Step,Value
1676685463.0708208,0,0.0682666227221489
1676685463.0718186,1,0.3096471428871155
1676685463.0728157,2,0.5913297533988953
1676685463.0728157,3,0.7614290714263916
1676685463.0728157,4,0.8259069919586182
1676685463.0728157,5,0.8550745248794556
1676685463.0728157,6,0.8861756920814514
1676685463.0728157,7,0.9021621346473694
1676685463.0728157,8,0.9128227829933167
1676685463.0728157,9,0.9184591770172119
1676685463.0728157,10,0.9255091547966003
1676685463.0728157,11,0.931463360786438
1676685463.0728157,12,0.9403035640716553
1676685463.0728157,13,0.9386768937110901
1676685463.0738122,14,0.940401017665863
1676685463.0738122,15,0.9386153221130371
1676685463.0738122,16,0.9386153221130371
1676685463.0738122,17,0.9386768937110901
1676685463.0748093,18,0.9366360902786255
1676685463.0748093,19,0.9349119663238525
1676685463.0748093,20,0.9349119663238525
1676685463.0758066,21,0.9349119663238525
1676685463.0758066,22,0.9311167597770691
1676685463.0758066,23,0.9329686164855957
1676685463.0758066,24,0.9329686164855957
1676685463.0758066,25,0.9311167597770691
1676685463.076803,26,0.9311167597770691
1676685463.076803,27,0.9276068806648254
1676685463.076803,28,0.9241586327552795
1676685463.076803,29,0.9224344491958618
1676685463.076803,30,0.9207103252410889
1676685463.076803,31,0.9207103252410889
1676685463.0778012,32,0.9207103252410889
1676685463.0778012,33,0.9209654331207275
1676685463.0778012,34,0.9209654331207275
1676685463.0778012,35,0.9209654331207275
1676685463.0778012,36,0.9228172898292542
1676685463.0778012,37,0.9263573884963989
1676685463.0787978,38,0.9263573884963989
1676685463.0787978,39,0.9263573884963989
1676685463.0787978,40,0.9263573884963989
1676685463.0787978,41,0.9245392084121704
1676685463.0787978,42,0.9228150844573975
1676685463.0787978,43,0.9193667769432068
1676685463.0797951,44,0.9210909605026245
1676685463.0797951,45,0.9193668365478516
1676685463.0797951,46,0.9193668365478516
1676685463.0797951,47,0.9193668365478516
1676685463.0797951,48,0.9176124334335327
1676685463.0797951,49,0.9176124334335327
