Wall time,Step,Value
1676693778.7639823,0,0.8299999833106995
1676693778.7649786,1,0.7827777862548828
1676693778.7649786,2,0.8082828521728516
1676693778.7649786,3,0.7997552752494812
1676693778.7649786,4,0.8089069724082947
1676693778.7649786,5,0.7906002402305603
1676693778.7649786,6,0.7846484184265137
1676693778.7649786,7,0.7701883912086487
1676693778.7649786,8,0.7621598243713379
1676693778.7649786,9,0.7578536868095398
1676693778.7649786,10,0.7519786357879639
1676693778.7649786,11,0.7491055727005005
1676693778.7649786,12,0.747083306312561
1676693778.7659752,13,0.7486408352851868
1676693778.7659752,14,0.7377508878707886
1676693778.7659752,15,0.7372161149978638
1676693778.7669723,16,0.7410789728164673
1676693778.7669723,17,0.7426350712776184
1676693778.7669723,18,0.7473017573356628
1676693778.89067,19,0.7467811107635498
1676693778.89067,20,0.7467811107635498
1676693778.89164,21,0.7474477291107178
1676693778.89164,22,0.7474477291107178
1676693778.89164,23,0.7467231154441833
1676693778.892638,24,0.7416452169418335
1676693778.892638,25,0.7363053560256958
1676693778.892638,26,0.7397072911262512
1676693778.892638,27,0.7397072911262512
1676693778.892638,28,0.7382522225379944
1676693778.8936353,29,0.7364461421966553
1676693778.8936353,30,0.7364461421966553
1676693778.8936353,31,0.7377282381057739
1676693778.8936353,32,0.74207603931427
1676693778.894632,33,0.7436429858207703
1676693778.894632,34,0.7425346374511719
1676693778.894632,35,0.7435065507888794
1676693778.894632,36,0.7402757406234741
1676693778.894632,37,0.7395065426826477
1676693778.8956285,38,0.7418875098228455
1676693778.8956285,39,0.7376234531402588
1676693778.8956285,40,0.7348456978797913
1676693778.8956285,41,0.7348456978797913
1676693778.8956285,42,0.7348456978797913
1676693778.8956285,43,0.7370943427085876
1676693778.8966267,44,0.738366961479187
1676693778.8966267,45,0.738366961479187
1676693778.8966267,46,0.7372273206710815
1676693778.8966267,47,0.7372273206710815
1676693778.8966267,48,0.7363333106040955
1676693778.8966267,49,0.7369031310081482
