Wall time,Step,Value
1676691031.3451648,0,0.047156061977148056
1676691031.346135,1,0.07277775555849075
1676691031.346135,2,0.11823830008506775
1676691031.346135,3,0.1574578732252121
1676691031.346135,4,0.19858604669570923
1676691031.346135,5,0.2493567019701004
1676691031.346135,6,0.30156055092811584
1676691031.346135,7,0.39055144786834717
1676691031.346135,8,0.4319910407066345
1676691031.346135,9,0.48280665278434753
1676691031.346135,10,0.49752485752105713
1676691031.346135,11,0.5443248748779297
1676691031.3471854,12,0.5738657712936401
1676691031.3471854,13,0.5820759534835815
1676691031.3471854,14,0.6088899374008179
1676691031.3481514,15,0.6202823519706726
1676691031.3481514,16,0.6352968811988831
1676691031.3481514,17,0.6423165798187256
1676691031.3481514,18,0.6660120487213135
1676691031.3491266,19,0.6746153235435486
1676691031.3491266,20,0.6746153235435486
1676691031.3491266,21,0.6736008524894714
1676691031.350124,22,0.6736008524894714
1676691031.350124,23,0.6806378364562988
1676691031.350124,24,0.683863639831543
1676691031.350124,25,0.6878636479377747
1676691031.3511393,26,0.6845303177833557
1676691031.3511393,27,0.680363655090332
1676691031.3511393,28,0.6875156760215759
1676691031.3511393,29,0.6835156679153442
1676691031.352138,30,0.6878634691238403
1676691031.352138,31,0.6884151697158813
1676691031.352138,32,0.6884151697158813
1676691031.352138,33,0.6916410326957703
1676691031.352138,34,0.6916410326957703
1676691031.352138,35,0.6999743580818176
1676691031.3531353,36,0.7047507762908936
1676691031.3531353,37,0.708454430103302
1676691031.3531353,38,0.7124544382095337
1676691031.3531353,39,0.7090061902999878
1676691031.3531353,40,0.7050061821937561
1676691031.3531353,41,0.7050061821937561
1676691031.354133,42,0.708454430103302
1676691031.354133,43,0.7121581435203552
1676691031.354133,44,0.720077395439148
1676691031.354133,45,0.7271144390106201
1676691031.354133,46,0.7236661911010742
1676691031.354133,47,0.7272375822067261
1676691031.3551304,48,0.7272375822067261
1676691031.3551304,49,0.7272375822067261
