Wall time,Step,Value
1676682645.9060793,18,0.6944758892059326
1676682651.5051079,37,0.6136873960494995
1676682657.0752475,56,0.5529858469963074
1676682662.6953065,75,0.5025933980941772
1676682668.267502,94,0.46100908517837524
1676682673.8835871,113,0.42722025513648987
1676682679.4956145,132,0.3998960852622986
1676682685.0916624,151,0.3780704140663147
1676682690.6687496,170,0.3605121076107025
1676682696.2388923,189,0.3461988568305969
1676682701.809974,208,0.3342432975769043
1676682707.4728417,227,0.32411420345306396
1676682713.1127894,246,0.315239280462265
1676682718.7277932,265,0.30723196268081665
1676682724.3158998,284,0.29985547065734863
1676682729.8929873,303,0.2931004762649536
1676682735.5000865,322,0.2866695821285248
1676682741.1070957,341,0.28047484159469604
1676682746.7031765,360,0.2745739221572876
1676682752.2722867,379,0.2689048945903778
1676682757.8543968,398,0.26342928409576416
1676682763.5172715,417,0.25824323296546936
1676682769.1003506,436,0.2532513737678528
1676682774.6933966,455,0.24848057329654694
1676682780.2885509,474,0.24395683407783508
1676682785.8656535,493,0.23958942294120789
1676682791.4357612,512,0.2354065328836441
1676682797.0169384,531,0.23129254579544067
1676682802.6179729,550,0.227298766374588
1676682808.17631,569,0.2233436554670334
1676682813.767387,588,0.2194535732269287
1676682819.3814304,607,0.21559856832027435
1676682824.975495,626,0.211847186088562
1676682830.564575,645,0.2081606686115265
1676682836.1197226,664,0.20454220473766327
1676682841.7716498,683,0.2008456587791443
1676682847.417689,702,0.19719959795475006
1676682853.0297415,721,0.1935751736164093
1676682858.6198292,740,0.1900438815355301
1676682864.2009504,759,0.18650947511196136
1676682869.781067,778,0.18303506076335907
1676682875.3860805,797,0.17954733967781067
1676682881.0080562,816,0.1761230230331421
1676682886.5731752,835,0.17259790003299713
1676682892.1542535,854,0.16915971040725708
1676682897.7433097,873,0.16568072140216827
1676682903.3413677,892,0.16226831078529358
1676682909.008225,911,0.15899020433425903
1676682914.6361768,930,0.15567560493946075
1676682920.1993086,949,0.15236122906208038
